sku1,sku2,association_composite_score
Daily Good Medium Poha | Avalakki | Indori Poha,Polka Pop Zero Sugar Blueberry Sparkling Water,0.969372599231754
Snackible Biscuit Sticks (with Chocolatey Dip) | Made with Jaggery (30.0 GRAM),Polka Pop Zero Sugar Blueberry Sparkling Water,0.947830985915493
Daily Good Medium Poha | Avalakki | Indori Poha,Heka Bites Roasted Makhana Himalayan Pink Salt,0.9313636363636363
Satyam Thin Poha Patla (500.0 GRAM),Polka Pop Zero Sugar Blueberry Sparkling Water,0.9292460646230323
Satyam Thin Poha Patla (500.0 GRAM),Heka Bites Roasted Makhana Himalayan Pink Salt,0.9157871972318339
Heka Bites Roasted Makhana Himalayan Pink Salt,Polka Pop Zero Sugar Blueberry Sparkling Water,0.9147265948632973
Snackible Biscuit Sticks (with Chocolatey Dip) | Made with Jaggery (30.0 GRAM),Daily Good Watermelon Seeds / Tarbuj Beej,0.9144615384615384
Polka Pop Zero Sugar Blueberry Sparkling Water,Daily Good Watermelon Seeds / Tarbuj Beej,0.9123149151318166
Heka Bites Roasted Makhana Himalayan Pink Salt,Daily Good Watermelon Seeds / Tarbuj Beej,0.9105392156862745
Daily Good Medium Poha | Avalakki | Indori Poha,Daily Good Watermelon Seeds / Tarbuj Beej,0.9006060606060606
Satyam Thin Poha Patla (500.0 GRAM),Daily Good Watermelon Seeds / Tarbuj Beej,0.8965309200603317
Polka Pop Zero Sugar Blueberry Sparkling Water,Heka Bites Roasted Makhana Himalayan Pink Salt,0.891238608119304
Sweet Karam Coffee Classic Tapioca Chips | No Palm Oil,Sweet Karam Coffee Indian Masala Tapioca Chips | No Palm Oil,0.8848765432098766
Snackible Biscuit Sticks (with Chocolatey Dip) | Made with Jaggery (30.0 GRAM),Heka Bites Roasted Makhana Himalayan Pink Salt,0.8838823529411763
Snackible Biscuit Sticks (with Chocolatey Dip) | Made with Jaggery (30.0 GRAM),Daily Good Medium Poha | Avalakki | Indori Poha,0.8799999999999999
Daily Good Watermelon Seeds / Tarbuj Beej,Polka Pop Zero Sugar Blueberry Sparkling Water,0.860743950884796
Daily Good Watermelon Seeds / Tarbuj Beej,Heka Bites Roasted Makhana Himalayan Pink Salt,0.8370098039215685
Polka Pop Zero Sugar Blueberry Sparkling Water,Daily Good Medium Poha | Avalakki | Indori Poha,0.8366197183098589
Daily Good Medium Poha | Avalakki | Indori Poha,Snackible Biscuit Sticks (with Chocolatey Dip) | Made with Jaggery (30.0 GRAM),0.8363636363636364
Heka Bites Roasted Makhana Himalayan Pink Salt,Daily Good Medium Poha | Avalakki | Indori Poha,0.825
Parle Melody Chocolaty (391.0 GRAM),Everest Kanda Lasoon Masala,0.820754716981132
TMI COLMAN Fresh Phool Makhana,Sweet Karam Coffee Classic Tapioca Chips | No Palm Oil,0.8198872785829309
Crax Mast Matar Green Peas Namkeen Snacks,Crax Aloo Bhujia Namkeen Snacks (160.0 GRAM),0.8189175323842504
Organic Tattva Brown Sugar Pouch,Mr Makhana Lime Chilli,0.8072278911564625
MOM Roasted Makhana Cheddar Cheese,Heka Bites Raw Premium Fox Nuts Makhana,0.7899312070043778
Dehaat Honest Farms Pesticide Free Poha | Thick,Balaji Rumbles Pudina Twist Wafers,0.7899306332512865
Sweet Karam Coffee Indian Masala Tapioca Chips | No Palm Oil,Sweet Karam Coffee Classic Tapioca Chips | No Palm Oil,0.7899270482603815
Polka Pop Zero Sugar Blueberry Sparkling Water,Snackible Biscuit Sticks (with Chocolatey Dip) | Made with Jaggery (30.0 GRAM),0.7774647887323943
Parle Melody Chocolaty (391.0 GRAM),Bhagirathi Rajgira Peeth | Amaranth Flour,0.7729559748427672
"Taali Roasted Bharuchi Peanuts | Salted | Protein Rich, No Palm Oil ,Restaurant-Style Crunch (150.0 GRAM)",Nutraj Cashew/Kaju,0.7667885638297872
Everest Kanda Lasoon Masala,Bhagirathi Rajgira Peeth | Amaranth Flour,0.762649895178197
Sweet Karam Coffee Classic Tapioca Chips | No Palm Oil,TMI COLMAN Fresh Phool Makhana,0.7541867954911434
Sweet Karam Coffee Classic Tapioca Chips | No Palm Oil,Sweet Karam Coffee Onion Kodubale / Ring Murukku | No Palm Oil and No Maida,0.7526155021000382
Daily Good Medium Poha | Avalakki | Indori Poha,Unibic Fruit & Nut cookies,0.7503725782414308
MOM Roasted Makhana Cheddar Cheese,Britannia Good Day Chunkies Chocochip Cookies,0.7494565217391305
Crax Mast Matar Green Peas Namkeen Snacks,Kurkure Schezwan Chutney (68.0 GRAM),0.746430159153552
Heka Bites Roasted Makhana Himalayan Pink Salt,Snackible Biscuit Sticks (with Chocolatey Dip) | Made with Jaggery (30.0 GRAM),0.7441176470588234
Polka Pop Zero Sugar Blueberry Sparkling Water,Unibic Fruit & Nut cookies,0.7440314015238975
Crax Mast Matar Green Peas Namkeen Snacks,Crax Fritts Cream and Onion Corn & Potato Stick Snacks,0.7336985050781696
Daily Good Watermelon Seeds / Tarbuj Beej,Daily Good Medium Poha | Avalakki | Indori Poha,0.7333333333333334
TMI COLMAN Fresh Phool Makhana,Sweet Karam Coffee Indian Masala Tapioca Chips | No Palm Oil,0.7293478260869566
Parle Melody Chocolaty (391.0 GRAM),Charliee Rajgira Laddu,0.7288575859395191
Parle Melody Chocolaty (391.0 GRAM),Everest Cumin Powder (50.0 GRAM),0.7271698113207548
Snackible Biscuit Sticks (with Chocolatey Dip) | Made with Jaggery (30.0 GRAM),Unibic Fruit & Nut cookies,0.7263606557377048
Daily Good Medium Poha | Avalakki | Indori Poha,Sweet Karam Coffee Madras Mixture,0.7252840909090909
Heka Bites Roasted Makhana Himalayan Pink Salt,Unibic Fruit & Nut cookies,0.7161644165863067
Everest Kanda Lasoon Masala,Charliee Rajgira Laddu,0.7147762557077626
Smith & Jones Pasta Masala (98.0 GRAM),Paper Boat Chikki Family Pack,0.7098739495798319
Daily Good Watermelon Seeds / Tarbuj Beej,Snackible Biscuit Sticks (with Chocolatey Dip) | Made with Jaggery (30.0 GRAM),0.7076923076923076
Sweet Karam Coffee Kerala Nendran Banana Chips (65.0 GRAM),Mr Makhana Lime Chilli,0.7044897959183674
Heka Bites Roasted Makhana Himalayan Pink Salt,Sweet Karam Coffee Madras Mixture,0.7039522058823527
Sweet Karam Coffee Classic Tapioca Chips | No Palm Oil,Parle Hide & Seek Milano Chocolate Flavoured Biscuits,0.7009474590869941
Dehaat Honest Farms Pesticide Free Poha | Thick,Crax Fritts Peri Peri Corn & Potato Stick Snacks,0.7005472170106316
Polka Pop Zero Sugar Blueberry Sparkling Water,Sweet Karam Coffee Madras Mixture,0.6991784037558685
Lay's Potato Chips Wafer style - Salt with Pepper Flavour (40.0 GRAM),Haldirams Namkeen - Khara Boondi,0.6964912280701754
Sweet Karam Coffee Indian Masala Tapioca Chips | No Palm Oil,Sweet Karam Coffee Onion Kodubale / Ring Murukku | No Palm Oil and No Maida,0.6960949703217745
Bingo! Cheese Nachos with Free Dip,Parle Hide & Seek Milano Chocolate Flavoured Biscuits,0.6940508382909681
Crax Double Mazza Roasted Chana Peanuts Namkeen Snacks (160.0 GRAM),Crax Mast Matar Green Peas Namkeen Snacks,0.6928719313812483
Organic Tattva Brown Sugar Pouch,Mr Makhana Super Snack - Pudina Party,0.6924397274633123
Snackible Biscuit Sticks (with Chocolatey Dip) | Made with Jaggery (30.0 GRAM),Sweet Karam Coffee Madras Mixture,0.6914374999999999
Stroom Cookie Crunch Delight 10G Protein Bars (45.0 GRAM),Paper Boat Chikki Family Pack,0.6900974025974025
Tata Sampann Unpolished Moong Dal,Maggi Pazzta Instant Pasta - Cheesy Tomato Twist (68.0 GRAM),0.6898255813953488
Charliee Rajgira Laddu,Bhagirathi Rajgira Peeth | Amaranth Flour,0.6882484707504091
"Wai Wai Ready to Eat Noodles, Chicken Masala Pack | 6 in 1",Bhagirathi Rajgira Peeth | Amaranth Flour,0.6870719776380154
Too Yumm! Aloo Bhujia | No Palm Oil | 35% Less Saturated Fat (200.0 GRAM),Bhagirathi Rajgira Peeth | Amaranth Flour,0.6870719776380154
Dehaat Honest Farms Pesticide Free Poha | Thick,Haldirams Namkeen - Khara Boondi,0.6795036371416345
Bingo! Cheese Nachos with Free Dip,Sweet Karam Coffee Onion Kodubale / Ring Murukku | No Palm Oil and No Maida,0.6780388396068089
Daily Good Watermelon Seeds / Tarbuj Beej,Unibic Fruit & Nut cookies,0.6772593526691887
Parle Melody Chocolaty (391.0 GRAM),Paper Boat Chikki Family Pack,0.6757412398921833
Sunfeast Farmlite Gold Oats and Chocolate Biscuits | Trans Fat-free,Bhagirathi Rajgira Peeth | Amaranth Flour,0.6742807440117757
Everest Kanda Lasoon Masala,Parle Melody Chocolaty (391.0 GRAM),0.671320754716981
Sunfeast Farmlite Gold Oats and Chocolate Biscuits | Trans Fat-free,Smoodh Toffee Caramel Milk,0.6705673758865247
Sunfeast Farmlite Gold Oats and Chocolate Biscuits | Trans Fat-free,Too Yumm! Sour Cream & Onion Veggie Stix | Munching Snack | On-the-Go Munchies,0.6705673758865247
Sweet Karam Coffee Classic Tapioca Chips | No Palm Oil,Sweet Karam Coffee Garlic Murukku Sticks (95.0 GRAM),0.6634806849860615
Mr Makhana Lime Chilli,Mr Makhana Super Snack - Pudina Party,0.662533692722372
Organic Tattva Brown Sugar Pouch,Haldiram's Mixture (400.0 GRAM),0.6609463276836157
Daily Good Watermelon Seeds / Tarbuj Beej,Sweet Karam Coffee Madras Mixture,0.6591613247863247
Crax Mast Matar Green Peas Namkeen Snacks,Lay's Potato Chips - Sizzling Hot Spicy Flavour,0.6546716003700277
Parle Hide & Seek Milano Mixed Berries Centre Fills| Preservative-free,Haldiram's Mixture (400.0 GRAM),0.6546516007532956
Bingo! Cheese Nachos with Free Dip,Haldiram's Mixture (400.0 GRAM),0.6499671528051505
TMI COLMAN Fresh Phool Makhana,Parle Hide & Seek Milano Chocolate Flavoured Biscuits,0.6487866531850355
Nutraj Cashew/Kaju,"Taali Roasted Bharuchi Peanuts | Salted | Protein Rich, No Palm Oil ,Restaurant-Style Crunch (150.0 GRAM)",0.6481050531914894
Organic Tattva Brown Sugar Pouch,Catch Chatpata Chat Masala Carton (100.0 GRAM),0.6477477477477477
Stroom Cookie Crunch Delight 10G Protein Bars (45.0 GRAM),Charliee Rajgira Laddu,0.6450186799501867
Bhagirathi Rajgira Peeth | Amaranth Flour,Charliee Rajgira Laddu,0.6445679331437925
Everest Kanda Lasoon Masala,Lal Sweets Motichoor Laddu,0.6445376344086022
Too Yumm! Sour Cream & Onion Veggie Stix | Munching Snack | On-the-Go Munchies,Bhagirathi Rajgira Peeth | Amaranth Flour,0.6441299790356394
Smoodh Toffee Caramel Milk,Bhagirathi Rajgira Peeth | Amaranth Flour,0.6441299790356394
"Wai Wai Ready to Eat Noodles, Chicken Masala Pack | 6 in 1",Paper Boat Chikki Family Pack,0.6440035273368607
Parle Melody Chocolaty (391.0 GRAM),Lal Sweets Motichoor Laddu,0.643822276323798
Crax Double Mazza Roasted Chana Peanuts Namkeen Snacks (160.0 GRAM),Kurkure Schezwan Chutney (68.0 GRAM),0.6432077125328659
Charliee Rajgira Laddu,Lal Sweets Motichoor Laddu,0.6427198409191339
"Wai Wai Ready to Eat Noodles, Chicken Masala Pack | 6 in 1",Charliee Rajgira Laddu,0.6423642820903095
Heka Bites Roasted Makhana Himalayan Pink Salt,Satyam Thin Poha Patla (500.0 GRAM),0.642257785467128
Sunfeast Farmlite Gold Oats and Chocolate Biscuits | Trans Fat-free,"Wai Wai Ready to Eat Noodles, Chicken Masala Pack | 6 in 1",0.6396637772524297
Heka Bites Roasted Chana Jor - Indian Herbs - Low Calorie & Healthy Snacks,Mr Makhana Super Snack - Pudina Party,0.6371664116947136
Polka Pop Zero Sugar Blueberry Sparkling Water,Satyam Thin Poha Patla (500.0 GRAM),0.6349627174813587
"MAGGI Coconut Milk Powder | Instant, Creamy & Tasty Dishes",Parle Hide & Seek Milano Chocolate Flavoured Biscuits,0.6345855694692905
TMI COLMAN Fresh Phool Makhana,Sweet Karam Coffee Onion Kodubale / Ring Murukku | No Palm Oil and No Maida,0.6338189152846258
Everest Kanda Lasoon Masala,Paper Boat Chikki Family Pack,0.6332380952380952
Paper Boat Chikki Family Pack,Bhagirathi Rajgira Peeth | Amaranth Flour,0.6324185248713551
Heka Bites Roasted Makhana Himalayan Pink Salt,Haldiram Aloo Bhujia ,0.6320849367784498
Bhagirathi Rajgira Peeth | Amaranth Flour,Lal Sweets Motichoor Laddu,0.6304093122337188
Tata Sampann Unpolished Moong Dal,Society Natural Tea (250.0 GRAM),0.6302631578947367
Crax Mast Matar Green Peas Namkeen Snacks,Lay's India's Magic Masala Potato Chips,0.6300875273522976
Nutraj Cashew/Kaju,Haldiram's Mini Bhakarwadi,0.6298139686684073
Smoodh Chocolate Milk Drink | Pet,Bhagirathi Rajgira Peeth | Amaranth Flour,0.6295208454905011
Stroom Choco Almond Bliss Protein Bars (45.0 GRAM),Paper Boat Chikki Family Pack,0.6294832826747719
Dehaat Honest Farms Pesticide Free Poha | Thick,Paper Boat Chikki Family Pack,0.6266550522648084
Too Yumm! Sour Cream & Onion Veggie Stix | Munching Snack | On-the-Go Munchies,"Wai Wai Ready to Eat Noodles, Chicken Masala Pack | 6 in 1",0.6263374485596707
Polka Pop Zero Sugar Blueberry Sparkling Water,Haldiram Aloo Bhujia ,0.6258983809398445
Smoodh Toffee Caramel Milk,Lal Sweets Motichoor Laddu,0.624718963831867
TMI COLMAN Fresh Phool Makhana,Haldiram's Mixture (400.0 GRAM),0.6239990174404323
MOM Roasted Makhana Cheddar Cheese,Britannia Marie Gold Biscuits Plain | Trans Fat-free,0.623470692368214
Everest Kanda Lasoon Masala,Everest Cumin Powder (50.0 GRAM),0.6232
Daily Good Medium Poha | Avalakki | Indori Poha,Haldiram Aloo Bhujia ,0.6225403568394222
Tata Tea Agni Tea,Farmley Cream And Onion Makhana Roasted In Olive Oil,0.6220850134408603
Too Yumm! Sour Cream & Onion Veggie Stix | Munching Snack | On-the-Go Munchies,Charliee Rajgira Laddu,0.621129099211291
Heka Bites Roasted Makhana Himalayan Pink Salt,Everest Chhole Masala,0.6210175681010658
Sunfeast Farmlite Gold Oats and Chocolate Biscuits | Trans Fat-free,Lal Sweets Motichoor Laddu,0.6201355525051475
Sunfeast Farmlite Gold Oats and Chocolate Biscuits | Trans Fat-free,Piknik Classic Tomato Chilli,0.6201355525051475
Too Yumm! Dahi Papdi Chaat Multigrain Healthy Chips High Protein Crunchy Crisps,Balaji Rumbles Pudina Twist Wafers,0.6198498748957464
Charliee Rajgira Laddu,Paper Boat Chikki Family Pack,0.6185909980430528
Sweet Karam Coffee Indian Masala Tapioca Chips | No Palm Oil,Parle Hide & Seek Milano Chocolate Flavoured Biscuits,0.6176180408738547
Crax Natkhat Classic Wheat Puff Snacks,Crax Fritts Cream and Onion Corn & Potato Stick Snacks,0.6171488738326314
Parle Melody Chocolaty (391.0 GRAM),"Paper Boat Mango | Juicy Sips, Chewy Bites | Refreshing Summer Juice Drink",0.6169963481436397
Bhagirathi Rajgira Peeth | Amaranth Flour,Paper Boat Chikki Family Pack,0.6169811320754717
Sunfeast Farmlite Gold Oats and Chocolate Biscuits | Trans Fat-free,Balaji Rumbles Pudina Twist Wafers,0.6165528010931096
Dehaat Honest Farms Pesticide Free Poha | Thick,Balaji Tomato Wafers (135.0 GRAM),0.6162103083294983
The Belgian Waffle Co Classic Chocolate Wafers | Preservative-free,The Belgian Crisps Double Choco Waffle Wafers | Artificial Colour-free,0.6156461906661348
"Wai Wai Ready to Eat Noodles, Chicken Masala Pack | 6 in 1",Lal Sweets Motichoor Laddu,0.6143468737554758
Smoodh Toffee Caramel Milk,Paper Boat Chikki Family Pack,0.6134199134199135
